ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Minimize Total Development Time,Reduce the sum of all sprint durations,total_dev_time,Sprint;Project,Min,🟢
G2,Maximize Delivered Feature Count,Increase the number of completed features by release,delivered_feature_count,Feature;Release Plan,Max,🟢
G3,Minimize Cost Variance,Keep actual spend as close to budget as possible,cost_variance,Project,Min,🟢
G4,Maximize Stakeholder Satisfaction,Improve average satisfaction score from reviews,stakeholder_satisfaction,Stakeholder;Sprint Review,Max,🟡
G5,Maximize Team Utilization,Maximize ratio of planned story points to capacity,team_utilization,Team;Sprint,Max,🟡
G6,Minimize Defect Count,Reduce number of blockers and bugs per release,defect_count,Blocker / Problem / Bug;Development Snapshot,Min,🟢
G7,Maximize Velocity Trend,Increase trend in average story points per sprint,velocity_trend,Velocity;Team,Max,🟡
G8,Minimize Carryover Stories,Reduce number of user stories carried to next sprint,carryover_stories,Sprint Backlog;User Story,Min,🔴
G9,Maximize On-time Release Probability,Increase probability of meeting planned release dates,release_on_time_prob,Release Plan;Project,Max,🟢
G10,Minimize Resource Over-allocation,Reduce instances where assigned effort exceeds availability,resource_overallocation,Team;Employee,Min,🟡
