ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV1,Sprint Duration,Length of a sprint in days,SprintDuration,Sprint,Integer,7,30
DV2,Number of Features,Number of features assigned to a sprint,FeatureCount,Feature; Sprint,Integer,0,50
DV3,Employee Availability,Percentage availability of an employee,EmployeeAvailability,Employee,Float,0,1
DV4,Task Effort Estimate,Estimated effort per task (story points or hours),TaskEffort,Task / Sub-Task,Float,0.1,100
DV5,Team Size,Number of members in a team,TeamSize,Team,Integer,3,15
DV6,Blocker Count,Number of active blockers affecting a sprint,BlockerCount,Blocker / Problem / Bug,Integer,0,20
DV7,Velocity,Average story points completed per sprint,Velocity,Velocity; Team,Float,0,200
DV8,Sprint Goal Achievement,Percentage achievement of sprint goal,SprintGoalAchieve,Sprint; Sprint Goal,Float,0,1
DV9,Skill Level,Level of a skill for an employee,SkillLevel,Skill; Employee,Integer,1,5
DV10,Product Owner Availability,Percentage availability of Product Owner,POAvailability,Product Owner,Float,0,1
