ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,project_selection,Indicates if a project is selected,integer,"{0,1}",0,1
DV1,team_assignment,Number of teams assigned to a project,continuous,,1,10
DV2,worker_allocation,Allocation level of a worker (0=unassigned, 1=fully assigned),continuous,,0,1
DV3,skill_level_required,Minimum skill level required for a task,integer,"{1,2,3,4,5}",1,5
DV4,role_count_per_worker,Number of roles a worker can take,continuous,,1,3
DV5,backlog_item_priority,Priority score assigned to backlog item,continuous,,1,10
DV6,sprint_duration_days,Length of sprint in days,integer,,5,30
DV7,task_completion_status,Binary status of task completion,integer,"{0,1}",0,1
DV8,story_point_estimate,Estimated story points for a user story,continuous,,1,20
DV9,blocker_severity_level,Severity level of a blocker,integer,"{1,2,3}",1,3
DV10,stakeholder_weight,Influence weight applied to stakeholder feedback,continuous,,0,1
DV11,velocity_multiplier,Scaling factor for team velocity prediction,continuous,,0.5,2.0
DV12,release_version_number,Version number for a release,continuous,,1.0,10.0
DV13,documentation_completeness,Percentage completeness of feature documentation,continuous,,0,100
DV14,board_column_count,Number of columns on a Scrum Board,continuous,,3,7
