ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_team_to_project,Whether a given team is assigned to a project,Binary,{0,1},0,1
DV1,assign_user_story_to_sprint,Whether a user story is scheduled in a sprint,Binary,{0,1},0,1
DV2,assign_task_to_worker,Whether a task is assigned to a specific worker,Binary,{0,1},0,1
DV3,select_feature_for_release,Whether a feature is included in a release plan,Binary,{0,1},0,1
DV4,select_epic_for_backlog,Whether an epic is included in the product backlog,Binary,{0,1},0,1
DV5,activate_sprint,Whether a sprint is active in the plan,Binary,{0,1},0,1
DV6,prioritize_user_story_rank,Priority rank assigned to a user story,Integer,Z,1,100
DV7,allocate_budget_to_project,Allocated budget amount to a project,Continuous,R,0,100000000
DV8,set_sprint_capacity_points,Capacity (story points) planned for a sprint,Integer,Z,0,1000
DV9,set_task_effort_refinement,Refined effort estimate for a task,Integer,Z,0,100
DV10,choose_scrum_master_for_team,Whether a Scrum Master is linked to a team,Binary,{0,1},0,1
DV11,invite_stakeholder_to_review,Whether a stakeholder is invited to a Sprint Review,Binary,{0,1},0,1
