ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Binary decision to assign a specific worker to a specific task.,Integer,"{0,1}",0,1
DV1,select_feature_for_sprint,Binary decision to include a specific user story in the upcoming sprint backlog.,Integer,"{0,1}",0,1
DV2,select_feature_for_release,Binary decision to include a specific feature in a release plan.,Integer,"{0,1}",0,1
DV3,assign_story_points,The number of story points to assign to a specific user story.,Integer,,1,20
DV4,set_worker_availability,The percentage of time a worker is available for project work in a sprint.,Float,,0.0,1.0
DV5,set_sprint_duration,The duration of a sprint in days.,Integer,,7,21
DV6,assign_priority_to_feature,The priority level assigned to a feature.,Integer,,1,10
DV7,set_blocker_severity,The severity level assigned to a identified blocker.,Integer,,1,5
DV8,set_team_size,The number of workers assigned to a team.,Integer,,3,9
DV9,set_project_budget,The total budget allocated to the project.,Float,,0.0,1000000.0
DV10,assign_skill_to_task,Binary decision that a task requires a specific skill.,Integer,"{0,1}",0,1
