ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize the average story points completed per sprint.,True,max,Velocity,avg._story_points,2,1.0
G1,minimize_sprint_overhead,Minimize time spent in meetings (planning, review, retro) to maximize development time.,True,min,SprintPlanning,duration_(min),2,0.8
G2,minimize_blocker_severity,Minimize the impact and severity of blockers that occur.,False,min,Blocker,severity,2,1.2
G3,maximize_feature_priority_alignment,Maximize the sum of priorities for features selected in a release.,True,max,Feature,priority,2,1.0
G4,minimize_budget_variance,Minimize the difference between planned and actual project budget.,False,min,Project,budget,2,1.5
G5,maximize_team_stability,Maximize the number of workers with high availability status.,True,max,Worker,availability,2,0.7
G6,minimize_story_effort_variance,Minimize the difference between estimated and actual story effort.,False,min,UserStory,story_points,1,0.9
G7,maximize_sprint_goal_achievement,Maximize the rate at which sprint goals are successfully met.,True,max,SprintGoal,achievement_status,2,1.1
G8,minimize_context_switching,Minimize the number of different tasks a worker is assigned to in a sprint.,True,min,Worker,availability,1,0.6
G9,maximize_skill_utilization,Maximize the use of certified skills within the team for assigned tasks.,True,max,Skill,certified,1,0.8
