ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_productivity,Increase the productivity of the team,False,max,Team,team_size,2,1.0
G1,maximize_sprint_achievement,Increase the achievement of sprint goals,False,max,Sprint,achievement_of_goal,2,1.0
G2,maximize_feature_completion,Increase the number of completed features,False,max,Feature,status,2,1.0
G3,maximize_user_story_completion,Increase the number of completed user stories,False,max,UserStory,status,2,1.0
G4,maximize_task_completion,Increase the number of completed tasks,False,max,Task,status,2,1.0
G5,maximize_velocity,Increase the average amount of work per sprint,False,max,Velocity,avg._story_points,2,1.0
G6,maximize_team_satisfaction,Increase the satisfaction of the team,False,max,SprintRetrospective,team_satisfaction,2,1.0
G7,minimize_blocker_impact,Decrease the impact of blockers on tasks,False,min,Blocker,severity,2,1.0
G8,maximize_feature_documentation,Increase the completeness of feature documentation,False,max,FeatureDocumentation,change_log,2,1.0
G9,maximize_release_plan_completion,Increase the number of completed release plans,False,max,ReleasePlan,status,2,1.0
G10,maximize_roadmap_completion,Increase the number of completed roadmap milestones,False,max,Roadmap,milestones,2,1.0
