ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_productivity,Maximize task completion without being blocked,True,minimize,-1,T,1,1.0
G1,minimize_blockers_on_sprints,Minimize the number of blockers affecting tasks,True,sum,-2,T,1,1.0
G2,maximize_user_story_acceptance,Ensure all user stories meet stakeholder acceptance,False,sum,-3,T,1,1.0
G3,minimize_sprint_backlog_size,Reduce the total effort required to complete a sprint,True,sum,-4,T,1,1.0
G4,maximize_user_stories_per_sprint,Maximize the number of user stories completed in each sprint,True,sum,-5,T,1,1.0
G5,minimize_sprint_duration,Minimize the total time spent on tasks within a sprint,True,sum,-6,T,1,1.0
G6,maximize_team_effectiveness,Ensure all team members are fully utilized and contribute effectively,True,sum,-7,T,1,1.0
G7,minimize_deployment_delay,Reduce the time between sprint completion and deployment,True,sum,-8,T,1,1.0
G8,maximize_quality_per_sprint,Improve the overall quality of features delivered per sprint,True,sum,-9,T,1,1.0
G9,minimize_risk_acceptance_ranks,Minimize the number of user stories requiring high risk acceptance,False,sum,-10,T,1,1.0
