ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV01,Team Members Allocated,Number of employees on project,TeamAlloc,Team,Integer,3,9
DV02,Sprint Length (days),Duration of each sprint,SprintLength,Sprint,Integer,10,30
DV03,Stories per Sprint,Count of user stories per sprint,StoriesSprint,Sprint Backlog,Integer,1,20
DV04,Budget per Feature,Allocated budget for each feature,BudgetFeature,Feature,Float,1000,50000
DV05,Story Point Estimate,Points assigned to a user story,SPUEstimate,User Story,Integer,1,13
DV06,Tasks per Story,Number of tasks per user story,TasksPerStory,User Story,Integer,1,10
DV07,Number of Releases,Total releases planned,NumReleases,Release Plan,Integer,1,12
DV08,Docs per Feature,Documentation pages per feature,DocsPerFeature,Feature Documentation,Integer,1,10
DV09,Max Parallel Sprints,Concurrent sprints allowed,ParallelSprints,Sprint,Integer,1,3
DV10,Feature Inclusion,Binary flag if feature included,FeatureIncluded,Release Plan,Integer,0,1
DV11,Roadmap Milestones,Milestones in roadmap,RoadmapMilestones,Roadmap,Integer,1,20
DV12,Testing Coverage (%),Percentage of code tested,TestCoverage,Development Snapshot,Float,50,100
