ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C01,Budget Limit,Total spend must not exceed budget,BudgetLimit,Project,Min,🟢
C02,Team Size Bound,Team size must be within HR policy,TeamSizeBound,Team,Min,🟢
C03,Sprint Duration Fixed,Sprints must last exactly 2 weeks,SprintDurationFixed,Sprint,Min,🟢
C04,Skill Match,Assigned employees must have required skills,SkillMatch,Worker / Employee; Skill,Max,🟢
C05,Release Window,Releases only in planned quarters,ReleaseWindow,Release Plan,Can-Match,🟡
C06,Story Point Cap,No story exceeds maximum story points,StoryPointCap,User Story,Min,🟢
C07,Dependency Order,Epics must respect dependency sequence,DependencyOrder,Epic; User Story,Max,🟢
C08,Availability Constraint,Employees avail. must cover sprint workload,AvailabilityConstraint,Worker / Employee,Min,🟢
C09,Regulatory Compliance,Features must meet legal requirements,RegCompliance,Feature,Max,🟢
C10,Technology Stack,Only approved tech may be used,TechStack,Feature; Task / Sub-Task,Can-Match,🟡
C11,Stakeholder Engagement,Key stakeholders must attend reviews,StakeEngagement,Stakeholder; Sprint Review,Max,🟢
C12,Documentation Standard,Docs must follow template,DocStandard,Feature Documentation,Max,🟡
C13,Time Zone Overlap,Distributed teams need 4h overlap,TimeZoneOverlap,Team,Min,🟢
