ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Indicates if a worker is assigned to a task,bool,{0,1},0,1
DV1,include_feature_in_sprint,Whether a feature is selected for current sprint,bool,{0,1},0,1
DV2,start_new_sprint,Decide to initiate a new sprint cycle,bool,{0,1},0,1
DV3,estimate_story_points,Estimated story points for a user story,int,[1,20],1,20
DV4,allocate_effort_per_task,Planned effort (hours) for a task,float,[0,40],0,40
DV5,schedule_sprint_review,Whether sprint review is scheduled,bool,{0,1},0,1
DV6,update_product_backlog,Indicates backlog update activity,bool,{0,1},0,1
DV7,resolve_blocker,Decision to resolve a blocker immediately,bool,{0,1},0,1
DV8,document_feature,Whether feature documentation is created,bool,{0,1},0,1
DV9,adjust_velocity_prediction,Modify predicted velocity based on trends,float,[0.5,2.0],0.5,2.0
DV10,plan_release_version,Define next release version number,int,[1,100],1,100
DV11,set_sprint_duration,Set length of sprint in days,int,{10,14,21},10,21
DV12,moderate_retrospective_with_sm,Assign Scrum Master to moderate,bool,{0,1},0,1
DV13,deploy_snapshot_after_sprint,Decide whether to deploy development snapshot,bool,{0,1},0,1
