ID,Step,Description,Interval,Result
1,Project Planning,"Define project scope, create backlog, plan release.",N/A,N/A
2,Product Owner Prepares Backlog,"Organize Product Backlog into prioritized items, add acceptance criteria.",N/A,N/A
3,Scrum Team Formed,"The development team is formed and committed to the Sprint Goal.",N/A,N/A
4,Release Planning,"Determine key objectives for releases.",N/A,N/A
5,First Sprint Planning,"Determine what can be delivered in the first Sprint, create Sprint Backlog.",N/A,N/A
6,Scrum Team Selects Sprint Goals,"Set clear goals for the Sprint.",N/A,N/A
7,Develop the Product Increment,"The Scrum Team iteratively improves and refines a vertical slice of the product increment.",N/A,N/A
8,First Daily Scrum,"Conduct daily Scrum meetings to inspect progress, plan next day's work.",N/A,N/A
9,Sprint Review,"Review the completed product increment in preparation for release.",N/A,N/A
10,Product Increment is Shown to Stakeholders,"Demonstrate and discuss the product increment with stakeholders.",N/A,N/A
11,Release Planning Update,"The Product Owner updates Release Plan based on the progress of work during the Sprint.",N/A,N/A
12,Sprint Retrospective,"Scrum Team reflects on the Sprint and identifies improvements for future Sprints.",N/A,N/A
13,Scrum Master Facilitates Improvement,"Helps the Scrum Team identify the most impactful changes.",N/A,N/A
14,Next Sprint Planning,"Determine what can be delivered in the next Sprint, plan new Sprint.",N/A,N/A
15,Sprint Goal is Set,"Set clear goals for the upcoming Sprint.",N/A,N/A
16,Continuous Integration/Continuous Deployment (CI/CD),"Automated testing and deployment of the product increment.",N/A,N/A
