Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Objective and constraints are linear. Solvable using simplex or interior-point methods.,Efficiently solvable,Resource allocation,10
2,Mixed-Integer Programming,MIP,Some variables must be integers. NP-hard.,Heuristic or exact methods,Scheduling,9
3,Quadratic Programming,QP,Quadratic objective with linear constraints. Solvable if convex.,Efficiently solvable,Portfolio optimization,8
4,Convex Optimization,CO,All functions are convex. Guarantees global optima.,Efficiently solvable,Signal processing,7
5,Nonlinear Programming,NLP,Objective or constraints are nonlinear. Requires gradient-based methods.,Locally solvable,Engineering design,6
6,Stochastic Programming,SP,Incorporates uncertainty in parameters. Solvable via scenario-based methods.,Complex,Financial planning,5
7,Dynamic Programming,DP,Problems with overlapping subproblems and stages. Solvable via recursion.,Efficiently solvable,Inventory management,4
8,Combinatorial Optimization,COpt,Optimizes discrete structures (e.g., graphs). Requires exact or heuristic methods.,NP-hard,Traveling Salesman Problem,3
9,Metaheuristics,MH,Approximate methods for complex problems (e.g., genetic algorithms).,Heuristic,Vehicle routing,2
10,Nonlinear Integer Programming,NLIP,Nonlinear objective with integer variables. Extremely challenging.,Heuristic,Complex scheduling,1
