ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,project_priority_weight,Weight assigned to project priority optimization,float,"{0.0,1.0}",0.0,1.0
DV1,team_size_capacity,Maximum number of members per team,integer,"{5,6,7,8,9,10}",5,10
DV2,worker_availability_hours,Weekly availability of a worker in hours,integer,,0,40
DV3,task_effort_estimate,Estimated effort for a single task in hours,integer,,1,16
DV4,story_points_estimate,Story points assigned to a user story,integer,"{1,2,3,5,8,13}",1,13
DV5,sprint_duration_days,Length of a sprint in days,integer,"{7,14,21,28}",7,28
DV6,skill_level_rating,Proficiency level of a worker in a skill,integer,"{1,2,3,4,5}",1,5
DV7,blocker_severity_level,Severity level of a blocker,integer,"{1,2,3}",1,3
DV8,velocity_min_threshold,Minimum acceptable velocity threshold,float,,5.0,20.0
DV9,release_version_number,Version number for a release,float,,1.0,10.0
DV10,documentation_completeness_ratio,Ratio of complete documentation entries,float,"{0.0,0.1,...,1.0}",0.0,1.0
DV11,meeting_duration_minutes,Duration of Scrum events in minutes,integer,,15,180
DV12,task_type_category,Type of task (development, testing, bugfix, etc.),string,"{development,testing,bugfix,documentation}",,
DV13,stakeholder_influence_score,Influence level of a stakeholder,integer,"{1,2,3,4,5}",1,5
