ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Indicates if a worker is assigned to a task,integer,"{0,1}",0,1
DV1,include_user_story_in_sprint,Whether a user story is selected for current sprint,integer,"{0,1}",0,1
DV2,estimated_story_points,Estimated effort for a user story,real,,1,13
DV3,task_effort_hours,Planned effort for a task in hours,real,,0,16
DV4,sprint_start_date,Start date of a sprint,datetime,,2024-01-01,2025-12-31
DV5,sprint_end_date,End date of a sprint,datetime,,2024-01-15,2026-01-15
DV6,worker_availability_fraction,Weekly availability of a worker as fraction,real,,0.0,1.0
DV7,feature_priority_rank,Priority level of a feature,integer,"{1,2,3}",1,3
DV8,documentation_status_flag,Whether feature documentation is complete,integer,"{0,1}",0,1
DV9,blocker_severity_level,Severity level of a blocker,integer,"{1,2,3}",1,3
DV10,release_version_number,Version identifier for a release,real,,1.0,10.0
DV11,goal_achievement_score,Score indicating sprint goal completion,real,,0.0,1.0
DV12,retrospective_satisfaction,Team satisfaction rating in retrospective,real,,1.0,5.0
DV13,planned_release_date,Planned date for a release,datetime,,2024-01-01,2027-12-31
DV14,velocity_trend_direction,Trend of velocity: increasing (+1), stable (0), decreasing (-1),integer,"{-1,0,1}",-1,1
