ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize overall team work speed,True,max,Team,team_size,2,1.0
G1,minimize_project_cost,Minimize total project expenditure,True,min,Project,budget,2,1.0
G2,maximize_feature_priority,Maximize the implementation of high-priority features,True,max,Feature,priority,2,1.0
G3,minimize_blocker_severity,Reduce the impact of obstacles hindering progress,True,min,Blocker,severity,2,1.0
G4,maximize_sprint_goal_achievement,Maximize the number of sprints that achieve their goals,True,max,Sprint,achievement_of_goal,2,1.0
G5,maximize_user_story_story_points,Maximize the total story points completed,True,max,UserStory,story_points,2,1.0
G6,maximize_stakeholder_influence,Maximize the involvement of key stakeholders,True,max,Stakeholder,influence_level,2,1.0
G7,minimize_epic_estimated_effort,Minimize the overall effort for epics,True,min,Epic,estimated_effort,2,1.0
G8,maximize_feature_documentation_quality,Ensure comprehensive feature documentation,True,max,FeatureDocumentation,creation_date,2,1.0
G9,maximize_release_feature_count,Increase the number of features delivered per release,True,max,ReleasePlan,included_features,2,1.0
G10,maximize_team_availability,Maximize the availability of team members,True,max,Worker,availability,2,1.0
G11,maximize_sprint_velocity,Maximize the velocity of each sprint,True,max,Velocity,avg._story_points,2,1.0
G12,minimize_task_effort,Minimize the total effort for tasks,True,min,Task,effort,2,1.0
