ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_story_to_sprint,"Binary decision whether to assign a specific User Story to a specific Sprint.",boolean,"{0,1}",0,1
DV1,assign_worker_to_task,"Binary decision whether to assign a specific Worker to a specific Task.",boolean,"{0,1}",0,1
DV2,assign_team_to_project,"Binary decision whether to assign a specific Team to a specific Project.",boolean,"{0,1}",0,1
DV3,set_feature_priority,"Integer variable to set the priority of a Feature (e.g., on a scale from 1 to 5).",integer,"{1,2,3,4,5}",1,5
DV4,set_task_effort_estimate,"Integer variable for the estimated effort of a Task in hours.",integer,"N+",1,40
DV5,include_feature_in_release,"Binary decision whether a Feature should be part of a specific Release Plan.",boolean,"{0,1}",0,1
DV6,set_project_budget,"Float variable to determine the budget for a Project.",float,R+,10000,1000000
DV7,select_sprint_duration,"Integer variable to choose the length of a sprint in days from a set of standard options.",integer,"{7, 14, 21, 30}",7,30
DV8,set_team_size,"Integer variable to determine the number of members in a Team.",integer,"N+",3,9
DV9,accept_user_story_in_review,"Binary decision made by the Product Owner to accept a User Story during the Sprint Review.",boolean,"{0,1}",0,1
DV10,change_task_status,"Categorical variable to update the status of a Task (e.g., Todo, InProgress, Done).",string,"{todo,in_progress,done}",,
DV11,select_worker_for_team,"Binary decision whether a specific Worker is selected to be a member of a specific Team.",boolean,"{0,1}",0,1
