Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimization of a linear objective function subject to linear equality and inequality constraints.,Polynomial time (e.g., Simplex, Interior Point),Maximize profit given resource constraints,10
2,Nonlinear Programming,NLP,Optimization where the objective function or constraints are nonlinear.,Varies (local/global solvers),Minimizing energy in a physical system,9
3,Integer Programming,IP,Linear or nonlinear optimization with integer decision variables.,NP-hard (Branch-and-bound, Cutting planes),Scheduling with discrete choices,8
4,Mixed-Integer Linear Programming,MILP,Linear programming with both continuous and integer variables.,NP-hard (efficient solvers available),Production planning with setup costs,8
5,Convex Optimization,CO,Optimization of a convex objective over convex constraints; global optimum guaranteed.,Polynomial time (interior-point methods),Portfolio optimization with risk constraints,7
6,Quadratic Programming,QP,Optimization with quadratic objective and linear constraints.,Polynomial time if convex,Portfolio variance minimization,6
7,Dynamic Programming,DP,Sequential decision-making optimization over time using recursive structure.,Pseudo-polynomial (depends on state space),Shortest path in a staged network,6
8,Combinatorial Optimization,COpt,Optimization over discrete structures (graphs, sets, permutations).,Often NP-hard (heuristics/approximations),Traveling Salesman Problem (TSP),5
9,Stochastic Programming,SP,Optimization under uncertainty using probabilistic constraints or objectives.,Varies (scenario-based, decomposition),Supply chain planning under demand uncertainty,4
10,Robust Optimization,RO,Optimization under worst-case uncertainty without probability assumptions.,Tractable for certain uncertainty sets,Portfolio selection under market ambiguity,3
