ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,x_f_release,"1 if feature is selected into the next release",binary,{0,1},0,1
DV1,x_us_sprint,"1 if user story u is assigned to sprint s (indexed by u,s)",binary,{0,1},0,1
DV2,x_task_team,"1 if task k is assigned to team t (indexed by k,t)",binary,{0,1},0,1
DV3,x_worker_team,"1 if worker w belongs to team t (indexed by w,t)",binary,{0,1},0,1
DV4,x_worker_role,"1 if worker w takes role r (indexed by w,r)",binary,{0,1},0,1
DV5,x_blocker_resolve,"1 if blocker bl is resolved for task k (indexed by k,bl)",binary,{0,1},0,1
DV6,x_budget_project,"Allocated budget for project p (indexed by p)",real,R_{≥0},0,1000000000000
DV7,x_sprint_goal_achieve,"1 if sprint s is planned to achieve its goal",binary,{0,1},0,1
DV8,x_team_project,"1 if team t is assigned to project p (indexed by t,p)",binary,{0,1},0,1
DV9,x_sprint_active,"1 if sprint s is active",binary,{0,1},0,1
DV10,x_doc_use,"1 if feature documentation fed is linked/used (indexed by fed)",binary,{0,1},0,1
DV11,x_sm_support,"1 if Scrum Master sm supports team t (indexed by sm,t)",binary,{0,1},0,1
DV12,x_po_pb,"1 if Product Owner po manages Product Backlog pb (indexed by po,pb)",binary,{0,1},0,1
DV13,x_team_sprint,"1 if team t works on sprint s (indexed by t,s)",binary,{0,1},0,1
DV14,x_review_active,"1 if sprint review sr is scheduled",binary,{0,1},0,1
