ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assignment_worker_to_task,Assignment of a worker to a specific task,Integer,{0,1},0,1
DV1,task_effort_hours,Planned effort for a task in hours,Float,,1,40
DV2,user_story_points,Estimated story points for a user story,Integer,,1,13
DV3,sprint_duration_weeks,Length of sprint in weeks,Integer,,1,4
DV4,team_size_actual,Number of active members in a team,Integer,,3,9
DV5,worker_availability_percentage,Weekly availability of a worker as percentage,Integer,,0,100
DV6,feature_priority_level,Priority level assigned to a feature,Integer,{1,2,3},1,3
DV7,release_version_number,Version identifier for a release,Float,,1.0,10.0
DV8,backlog_refinement_hours,Hours allocated per week for backlog refinement,Float,,0,8
DV9,scrum_board_column_count,Number of workflow columns on the Scrum board,Integer,,3,7
DV10,documentation_status_flag,Indicates if feature doc is complete,Integer,{0,1},0,1
DV11,stakeholder_feedback_weight,Weight assigned to stakeholder feedback in backlog ranking,Float,,0.0,1.0
