ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Assignment of worker to team,integer,"{0,1}",0,1
DV1,select_user_story_for_sprint,Whether a user story is selected for a sprint,integer,"{0,1}",0,1
DV2,plan_sprint_duration,Planned duration of a sprint in days,real,,1,30
DV3,estimate_task_effort,Estimated effort for a task,real,,0,40
DV4,allocate_budget_to_project,Budget allocated to a project,real,,1000,1000000
DV5,set_sprint_goal_achievement,Level of sprint goal achievement (0-1),real,,0,1
DV6,activate_feature,Whether a feature is activated in release,integer,"{0,1}",0,1
DV7,resolve_blocker,Whether a blocker is resolved,integer,"{0,1}",0,1
DV8,schedule_release_date,Scheduled date for release (days from now),integer,,0,365
DV9,update_documentation,Whether documentation is updated,integer,"{0,1}",0,1
DV10,moderate_retrospective,Scrum Master moderates retrospective,integer,"{0,1}",0,1
DV11,participate_stakeholder,Stakeholder participates in sprint review,integer,"{0,1}",0,1
DV12,train_worker_skill,Investment in worker skill development (hours),real,,0,160
DV13,deploy_snapshot,Whether a development snapshot is deployed,integer,"{0,1}",0,1
DV14,create_epic,Whether an epic is created,integer,"{0,1}",0,1
