ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Minimize Project Duration,Reduce the total time from project start to end,Min_Project_Duration,Project,Min,🟢
G2,Maximize Team Velocity,Increase average story points completed per sprint,Max_Team_Velocity,Velocity;Sprint,Max,🟡
G3,Minimize Budget Overrun,Limit spending beyond planned budget,Min_Budget_Overrun,Project,Min,🟢
G4,Maximize Feature Throughput,Deliver as many features as possible per release,Max_Feature_Throughput,Release Plan;Feature,Max,🟡
G5,Minimize Bug Escape Rate,Reduce number of bugs found after release,Min_Bug_Escape_Rate,Blocker / Problem / Bug,Min,🟢
G6,Maximize Stakeholder Satisfaction,Achieve high stakeholder approval scores at review,Max_Stakeholder_Satisfaction,Stakeholder;Sprint Review,Max,🟡
G7,Minimize Sprint Backlog Age,Keep tasks from lingering across sprints,Min_Sprint_Backlog_Age,Sprint Backlog,Min,🟡
G8,Maximize Test Coverage,Increase percentage of code covered by tests,Max_Test_Coverage,Development Snapshot,Max,🟢
G9,Minimize Cycle Time,Reduce time from task start to task completion,Min_Cycle_Time,Task / Sub-Task,Min,🟡
G10,Maximize Release Frequency,Increase number of releases per quarter,Max_Release_Frequency,Release Plan,Max,🟡
