ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G01,Minimize Sprint Duration,Reduce the length of sprints to accelerate delivery,MinSprintDuration,Sprint,Min,🟡
G02,Maximize Team Velocity,Improve the throughput of the development team,MaxTeamVelocity,Velocity,Max,🟢
G03,Minimize Task Effort,Lower the estimated effort for sprint tasks,MinTaskEffort,Task / Sub-Task,Min,🟡
G04,Maximize Feature Completion,Deliver as many features as possible per sprint,MaxFeaturePerSprint,Feature,Max,🟢
G05,Maximize Stakeholder Satisfaction,Ensure stakeholder needs are met,MaxStakeholderSatisfaction,Stakeholder,Max,🟡
G06,Minimize Blockers,Reduce blockers that hinder progress,MinBlockers,Blocker / Problem / Bug,Min,🟢
G07,Maximize Certified Skills,Increase number of certified skills in the team,MaxCertifiedSkills,Skill / Competence,Max,🟡
G08,Maximize Sprint Goal Achievement,Ensure sprint goals are consistently met,MaxSprintGoalAchievement,Sprint Goal,Max,🟢
G09,Maximize Task Completion Rate,Ensure all sprint tasks are completed,MaxTaskCompletion,Task / Sub-Task,Max,🟡
G10,Minimize Product Backlog Size,Reduce feature backlog through consistent delivery,MinBacklogSize,Product Backlog,Min,🟡
