ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G01,Maximize Sprint Velocity,Increase average story points completed per sprint,maxSprintVelocity,Velocity,Max,🟢
G02,Minimize Bug Count,Reduce the number of blockers/bugs detected per sprint,minBugCount,Blocker / Problem / Bug,Min,🟢
G03,Maximize Feature Delivery,Complete as many features as possible per release,maxFeatureDelivery,Feature; Release Plan,Max,🟢
G04,Minimize Task Effort,Reduce total effort for tasks in sprint backlog,minTotalTaskEffort,Task / Sub-Task; Sprint Backlog,Min,🟢
G05,Maximize Team Availability,Ensure team members have high availability,maxTeamAvailability,Employee; Team,Max,🟡
G06,Minimize Sprint Duration,Keep sprint durations within planned time frames,minSprintDuration,Sprint,Min,🟢
G07,Maximize Product Owner Availability,Ensure product owner is available for backlog management,maxPOAvailability,Product Owner,Max,🟢
G08,Maximize Stakeholder Engagement,Increase stakeholder participation in sprint reviews,maxStakeholderEngagement,Stakeholder; Sprint Review,Max,🟡
G09,Minimize Delay in Resolving Blockers,Reduce time from blocker detection to resolution,minBlockerResolutionTime,Blocker / Problem / Bug,Min,🟢
G10,Maximize Team Skill Level,Ensure high average skill level in team members,maxTeamSkillLevel,Employee; Skill,Max,🟢
