Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimization of a linear objective function subject to linear equality and inequality constraints.,Polynomial time (for small to medium-sized problems),Maximizing profit given resource constraints.,10
2,Integer Programming,IP,Optimization of a linear objective function subject to linear constraints where some or all variables are restricted to be integers.,NP-Hard,Knapsack problem.,9
3,Nonlinear Programming,NLP,Optimization of a nonlinear objective function subject to nonlinear constraints.,Depends on the problem (can be NP-Hard),Minimizing cost function with nonlinear constraints.,8
4,Quadratic Programming,QP,Optimization of a quadratic objective function subject to linear constraints.,Polynomial time (for convex problems),Portfolio optimization.,7
5,Mixed-Integer Linear Programming,MILP,Optimization of a linear objective function subject to linear constraints where some variables are continuous and others are integers.,NP-Hard,Production planning with discrete and continuous decisions.,6
6,Convex Optimization,CO,Optimization of a convex objective function subject to convex constraints.,Polynomial time (for convex problems),Support vector machines in machine learning.,5
7,Combinatorial Optimization,CO,Optimization problems where the variables are discrete and the objective is to find the best combination of these variables.,NP-Hard,Travelling salesman problem.,4
8,Dynamic Programming,DP,Optimization of problems by breaking them down into simpler subproblems and storing the results of subproblems to avoid redundant computations.,Polynomial time (for problems with optimal substructure and overlapping subproblems),Shortest path problem.,3
9,Network Flow Optimization,NFO,Optimization of flow in a network subject to capacity constraints.,Polynomial time (for problems with specific structures),Maximum flow problem.,2
10,Stochastic Programming,SP,Optimization of problems involving uncertainty where some of the data is modeled as random.,Depends on the problem (can be NP-Hard),Inventory management with uncertain demand.,1
