ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,minimize_sprint_backlog_size,Reduce the number of tasks in the Sprint Backlog,True,min,SprintBacklog,number_of_tasks,1,1.0
C1,maximize_user_story_coverage,Ensure all user stories are implemented within an epic,True,max,Epic,UserStory,1,1.0
C2,minimize_sprint_duration,Reduce the average Sprint length,True,min,Sprint,end_date,1,1.0
C3,maximize_user_story_acceptance,Increase the percentage of user stories accepted,True,max,UserStory,acceptance_criteria,1,1.0
C4,minimize_task_complexity,Reduce the effort associated with each task,True,min,Task,effort,1,1.0
C5,maximize_skill_utilization,Improve the use of skills by employees,True,max,Skill,level,1,1.0
C6,minimize_feature_rework,Reduce the amount of rework related to features,True,min,Feature,description,1,1.0
C7,maximize_stakeholder_engagement,Increase the number of stakeholders participating in sprint reviews,True,max,SprintReview,attendees_count,1,1.0
C8,minimize_task_complexity,Reduce the effort associated with each task,True,min,Task,effort,1,1.0
C9,minimize_sprint_duration,Reduce the average Sprint length,True,min,Sprint,end_date,1,1.0
C10,maximize_user_story_coverage,Ensure all user stories are implemented within an epic,True,max,Epic,UserStory,1,1.0
C11,maximize_stakeholder_engagement,Increase the number of stakeholders participating in sprint reviews,True,max,SprintReview,attendees_count,1,1.0
C12,minimize_sprint_backlog_size,Reduce the number of tasks in the Sprint Backlog,True,min,SprintBacklog,number_of_tasks,1,1.0
C13,maximize_skill_utilization,Improve the use of skills by employees,True,max,Skill,level,1,1.0
C14,minimize_task_complexity,Reduce the effort associated with each task,True,min,Task,effort,1,1.0
C15,maximize_stakeholder_engagement,Increase the number of stakeholders participating in sprint reviews,True,max,SprintReview,attendees_count,1,1.0
C16,minimize_task_complexity,Reduce the effort associated with each task,True,min,Task,effort,1,1.0
C17,minimize_sprint_duration,Reduce the average Sprint length,True,min,Sprint,end_date,1,1.0
C18,maximize_skill_utilization,Improve the use of skills by employees,True,max,Skill,level,1,1.0
C19,maximize_stakeholder_engagement,Increase the number of stakeholders participating in sprint reviews,True,max,SprintReview,attendees_count,1,1.0
C20,minimize_task_complexity,Reduce the effort associated with each task,True,min,Task,effort,1,1.0
