ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Team Size Lower Bound,Each Team must have at least 3 members,MinTeamSize,Team,Min,🟢
C2,Team Size Upper Bound,No more than 9 members per Team,MaxTeamSize,Team,Max,🟢
C3,Sprint Length Fixed,Sprint duration must be exactly 14 days,FixedSprintLength,Sprint,Min,🟢
C4,Budget Floor,Project Budget must be ≥ sum of allocated Feature costs,MinBudget,Project,Min,🟢
C5,Skill Coverage,All required Skills for an Epic must be present in Team,SkillCoverage,Epic;Team,Max,🟢
C6,Availability Constraint,Employees must be available during Sprint period,MinAvailability,Worker / Employee;Sprint,Min,🟢
C7,Backlog Size Limit,Product Backlog entries ≤ 200,MaxBacklogEntries,Product Backlog,Max,🟡
C8,Location Constraint,Teams must operate in same Time Zone,SameTimeZone,Team,Min,🔴
C9,Holiday Exclusion,No Sprints start on public holidays,SprintStartHoliday,Sprint,Min,🔴
C10,Priority Feature Inclusion,High-priority Features should be included in first two Sprints,HighPriorityFirst,Sprint Backlog;Feature,Max,🟡
