ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Whether a worker is assigned to a team,Integer,{0,1},0,1
DV1,select_feature_for_sprint,Whether a feature is selected for a sprint,Integer,{0,1},0,1
DV2,assign_task_to_worker,Whether a task is assigned to a worker,Integer,{0,1},0,1
DV3,set_sprint_duration,Duration of the sprint in days,Integer,{7,30},7,30
DV4,allocate_budget_to_project,Amount of budget allocated to a project,Real,[0,1000000],0,1000000
DV5,set_worker_availability,Availability status of a worker,Integer,{0,1},0,1
DV6,set_blocker_severity,Severity level of a blocker,Integer,{1,5},1,5
DV7,set_team_size,Number of members in a team,Integer,[3,9],3,9
DV8,set_feature_priority,Priority level of a feature,Integer,[1,5],1,5
DV9,set_user_story_status,Status of a user story,Integer,{0,1},0,1
DV10,set_sprint_goal_achievement,Percentage of sprint goal achieved,Real,[0,100],0,100
DV11,set_skill_level,Level of a skill for a worker,Integer,[1,5],1,5
DV12,set_task_effort,Effort required for a task in hours,Real,[0.5,40],0.5,40
DV13,set_stakeholder_relevance,Relevance of a feature to a stakeholder,Integer,[1,5],1,5
DV14,set_velocity_avg,Average story points completed per sprint,Real,[0,100],0,100
