ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_productivity,Maximize the total story points completed by all teams per sprint,True,max,Team,team_size,2,1.0
G1,maximize_sprint_velocity,Maximize the average story points completed per sprint,True,max,Velocity,avg._story_points,2,1.5
G2,minimize_blocker_severity,Minimize the severity of all blockers,True,min,Blocker,severity,2,1.2
G3,maximize_feature_completion,Maximize the number of completed features in the product backlog,True,max,Feature,status,2,1.0
G4,maximize_team_satisfaction,Maximize the team satisfaction score from retrospectives,True,max,SprintRetrospective,team_satisfaction,2,1.3
G5,minimize_project_budget_overrun,Minimize the difference between actual and planned project budget,False,min,Project,budget,2,1.0
G6,maximize_stakeholder_relevance,Maximize the relevance of features to stakeholders,True,max,Stakeholder,relevance_to_feature,2,1.1
G7,maximize_sprint_goal_achievement,Maximize the percentage of sprint goals achieved,True,max,SprintGoal,achievement_status,2,1.4
G8,minimize_task_effort,Minimize the total effort required for all tasks in a sprint,True,min,Task,effort,2,1.0
G9,maximize_worker_availability,Maximize the availability of workers for project assignments,True,max,Worker,availability,2,1.0
G10,maximize_epic_priority,Maximize the priority of epics in the product backlog,True,max,Epic,priority,2,1.0
G11,minimize_sprint_duration,Minimize the duration of sprints,False,min,Sprint,duration,1,0.8
G12,maximize_skill_level,Maximize the average skill level of workers in a team,True,max,Skill,level,2,1.0
G13,maximize_user_story_completion,Maximize the number of completed user stories per sprint,True,max,UserStory,status,2,1.0
G14,maximize_development_snapshot_quality,Maximize the test status quality of development snapshots,True,max,DevelopmentSnapshot,test_status,2,1.0
