ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Binary decision to assign a worker to a team,Binary,"{0,1}",0,1
DV1,select_feature_for_sprint,Binary decision to include a feature in a sprint,Binary,"{0,1}",0,1
DV2,assign_task_to_worker,Binary decision to assign a task to a worker,Binary,"{0,1}",0,1
DV3,team_size,The number of workers in a specific team,Integer,"Z+",1,9
DV4,project_budget_spent,The amount of budget used for the project so far,Float,"R+",0,Infinity
DV5,sprint_velocity,The achieved story points in a specific sprint,Integer,"Z+",0,Infinity
DV6,worker_availability_percentage,The percentage of time a worker is available,Float,"R+",0,100
DV7,feature_priority_value,The assigned priority level for a feature,Integer,"{1,2,3,4,5}",1,5
DV8,blocker_severity_level,The severity level assigned to a blocker,Integer,"{1,2,3,4}",1,4
DV9,sprint_goal_achieved,Binary status if the sprint goal was met,Binary,"{0,1}",0,1
