ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize the average velocity of teams,True,max,Team,avg._story_points,2,1.0
G1,minimize_project_budget,Minimize the total budget spent on the project,True,min,Project,budget,2,1.5
G2,maximize_feature_priority,Maximize the sum of priorities for completed features,True,max,Feature,priority,2,1.0
G3,minimize_blocker_severity,Minimize the total severity of unresolved blockers,True,min,Blocker,severity,2,0.8
G4,maximize_stakeholder_influence,Maximize engagement from high-influence stakeholders,True,max,Stakeholder,influence_level,2,1.2
G5,minimize_sprint_goal_failure,Minimize the number of sprints where the goal was not achieved,True,min,Sprint,achievement_of_goal,1,1.0
G6,maximize_worker_availability,Maximize the total availability of all workers,True,max,Worker,availability,2,0.9
G7,minimize_task_effort,Minimize the total estimated effort for all tasks in the sprint backlog,True,min,Task,effort,2,1.0
G8,maximize_skill_level,Maximize the average certified skill level of the team,True,max,Skill,level,2,1.1
G9,minimize_sprint_duration,Minimize the total duration of all planned sprints,True,min,Sprint,start_date,0,0.7
