ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Binary variable, 1 if worker w is assigned to team t, 0 otherwise.,Binary,"{0,1}",0,1
DV1,assign_team_to_project,Binary variable, 1 if team t is assigned to project p, 0 otherwise.,Binary,"{0,1}",0,1
DV2,assign_user_story_to_sprint,Binary variable, 1 if user story u is assigned to sprint s, 0 otherwise.,Binary,"{0,1}",0,1
DV3,assign_task_to_worker,Binary variable, 1 if task tsk is assigned to worker w, 0 otherwise.,Binary,"{0,1}",0,1
DV4,select_feature_for_release,Binary variable, 1 if feature f is selected for release rep, 0 otherwise.,Binary,"{0,1}",0,1
DV5,assign_role_to_worker,Binary variable, 1 if role r is assigned to worker w, 0 otherwise.,Binary,"{0,1}",0,1
DV6,set_user_story_priority,Integer variable for the priority of a user story us.,Integer,N/A,1,5
DV7,set_sprint_start_date,Date variable for the start date of a sprint sp.,Date,N/A,N/A,N/A
DV8,set_task_effort,Continuous variable for the effort of a task tsk in hours.,Float,N/A,0.5,40.0
DV9,select_project_for_development,Binary variable, 1 if project p is selected, 0 otherwise.,Binary,"{0,1}",0,1
