Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,"Optimization problem where the objective function and constraints are all linear. Highly efficient solvers exist.",Solvable in polynomial time,"Resource allocation, production planning, transportation problems",1000
2,Integer Programming,IP,"Similar to LP but with some or all decision variables required to be integers.",NP-hard,"Scheduling, facility location, routing",750
3,Mixed Integer Programming,MIP,"A combination of LP and IP – some variables are continuous, some are integer.",NP-hard,"Supply chain optimization, network design",600
4,Nonlinear Programming,NLP,"Optimization problem where either the objective function or constraints are nonlinear.",NP-hard,"Portfolio optimization, chemical process control",400
5,Convex Optimization,"","Optimization problem where the objective function and feasible region are convex. Efficient solvers exist for many convex problems.",Solvable in polynomial time,"Support Vector Machines, regression",300
6,Dynamic Programming,DP,"Solving a complex problem by breaking it down into smaller overlapping subproblems.",Often solvable, but complexity can be high,"Shortest path, optimal control",250
7,Combinatorial Optimization,CO,"Finding an optimal object from a finite set of objects.",NP-hard,"Traveling Salesman Problem, knapsack problem",200
8,Stochastic Programming,SP,"Optimization under uncertainty, where some parameters are random variables.",Generally hard, often requires approximation,"Inventory management with uncertain demand",150
9,Geometric Programming,GP,"A type of non-linear optimization where the objective and constraints can be expressed in a specific form.",Can be efficiently solved in some cases,"Engineering design optimization",100
10,Quadratic Programming,QP,"Optimization problem where the objective function is quadratic and the constraints are linear.",Solvable in polynomial time,"Portfolio optimization, support vector machines",90
