ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,select_feature,1 if a feature is selected for implementation,binary,{0,1},0,1
DV1,select_user_story,1 if a user story is included in the sprint,binary,{0,1},0,1
DV2,select_task,1 if a task is included in the sprint plan,binary,{0,1},0,1
DV3,assign_worker_to_team,1 if a worker is assigned to a team,binary,{0,1},0,1
DV4,sprint_length_weeks,Chosen sprint duration in weeks,integer,{1,2,3,4},1,4
DV5,allocate_project_budget,Budget allocated to a project,float,[0,10000000],0,10000000
DV6,team_size,Target size of a team,integer,[1,50],1,50
DV7,max_parallel_tasks,Cap on concurrent tasks in progress,integer,[1,100],1,100
DV8,velocity_target,Target average story points per sprint,float,[0,200],0,200
DV9,priority_threshold,Minimum priority to include items,integer,{1,2,3,4,5},1,5
DV10,allow_remote_team,1 if remote teams are allowed,binary,{0,1},0,1
DV11,sprint_goal_weight,Weight given to sprint goal achievement,float,[0,10],0,10
