"ID","Name","Description","DataType","Domain","MinValue","MaxValue"
"D0","project_budget_allocation","Project budget allocation","float","{x | 0 <= x <= 1}",0.0,1.0
"D1","team_size_adjustment","Team size adjustment","int","{x | 0 <= x <= 10}",0,10
"D2","blocker_resolution_priority","Blocker resolution priority","int","{x | 1 <= x <= 5}",1,5
"D3","sprint_goal_achievement_target","Sprint goal achievement target","float","{x | 0 <= x <= 1}",0.0,1.0
"D4","task_effort_estimation","Task effort estimation","float","{x | 0 <= x <= 100}",0.0,100.0
"D5","feature_priority_level","Feature priority level","int","{x | 1 <= x <= 5}",1,5
"D6","stakeholder_influence_level","Stakeholder influence level","int","{x | 1 <= x <= 5}",1,5
"D7","development_snapshot_test_coverage","Development snapshot test coverage","float","{x | 0 <= x <= 1}",0.0,1.0
"D8","release_plan_feature_inclusion","Release plan feature inclusion","bool","{0,1}",0,1
"D9","scrum_board_task_limit","Scrum board task limit","int","{x | 0 <= x <= 20}",0,20
"D10","product_owner_availability_target","Product owner availability target","float","{x | 0 <= x <= 1}",0.0,1.0
"D11","sprint_planning_duration_target","Sprint planning duration target","int","{x | 0 <= x <= 120}",0,120
"D12","sprint_review_feedback_target","Sprint review feedback target","float","{x | 0 <= x <= 1}",0.0,1.0
"D13","team_velocity_target","Team velocity target","float","{x | 0 <= x <= 100}",0.0,100.0
"D14","blocker_severity_threshold","Blocker severity threshold","int","{x | 1 <= x <= 5}",1,5
