ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Worker is assigned to a team,binary,{0,1},0,1
DV1,assign_user_story_to_sprint,User story scheduled in a sprint,binary,{0,1},0,1
DV2,select_feature_for_release,Feature included in a release plan,binary,{0,1},0,1
DV3,prioritize_feature_rank,Rank position of a feature in backlog,integer,[1,100],1,100
DV4,allocate_story_points_to_team,Story points capacity allocated to a team,integer,[0,500],0,500
DV5,assign_scrum_master_to_team,Scrum Master supports a team,binary,{0,1},0,1
DV6,assign_product_owner_to_backlog,Product Owner manages a backlog,binary,{0,1},0,1
DV7,select_task_for_sprint_backlog,Task included in sprint backlog,binary,{0,1},0,1
DV8,set_sprint_goal_commitment,Sprint commits to a specific goal,binary,{0,1},0,1
DV9,mark_blocker_resolved,Blocker resolution decision,binary,{0,1},0,1
DV10,allocate_budget_to_feature,Budget allocation amount for a feature,float,[0,1000000],0,1000000
DV11,plan_sprint_duration_days,Number of days in the sprint,integer,[7,30],7,30
