ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Team Size Limit,Team must have between 5 and 9 members,teamSize,Team,Min,🟢
C2,Sprint Length Constraint,Sprint duration must be 2 weeks,sprintDuration,Sprint,Min,🟢
C3,Budget Ceiling,Project budget must not exceed allocated amount,budget,Project,Max,🟢
C4,Skill Coverage,Every team must include required skills,requiredSkills,Team,Min,🟢
C5,Availability Window,Employees must be available for sprint start,availability,Employee,Min,🟢
C6,Release Date Target,Release must occur by planned date,plannedDate,Release Plan,Max,🟡
C7,Backlog Completeness,Product Backlog must contain all approved items,backlogEntries,Product Backlog,Min,🟢
C8,Epic Size Cap,Epic estimated effort must not exceed threshold,epicEffort,Epic,Max,🟡
C9,Sprint Goal Defined,Every sprint must have a defined goal,hasGoal,Sprint,Min,🟢
C10,Documentation Coverage,Features must have associated documentation,docCoverage,Feature,Min,🟡
C11,Max Daily Meetings,Limit daily scrum meetings per team,dailyScrumCount,Daily Scrum,Max,🔴
C12,Blocker Resolution Window,Blockers must be resolved within 48 hours,resolutionTime,Blocker / Problem / Bug,Max,🟢
C13,Email Response Time,PO must respond within 24 hours,responseTime,Product Owner,Max,🟡
