ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV01,SprintVelocity,Average story points completed per sprint,SprintVelocity,Velocity,Integer,0,1000
DV02,BlockerResolutionTime,Time (in hours) to resolve a blocker,BlockerResolutionTime,Blocker / Problem / Bug,Float,0,168
DV03,TeamSize,Number of members in a team,TeamSize,Team,Integer,3,9
DV04,TaskEffortEstimate,Estimated effort (hours) for a task,TaskEffortEstimate,Task / Sub-Task,Float,0,100
DV05,EmployeeAvailability,Percentage availability of an employee during sprint,EmployeeAvailability,Worker / Employee,Float,0,100
DV06,FeaturePriority,Priority value assigned to a feature,FeaturePriority,Feature,Integer,1,10
DV07,SprintDuration,Duration of a sprint (days),SprintDuration,Sprint,Integer,7,28
DV08,TaskBlockerCount,Number of blockers assigned to a task,TaskBlockerCount,Task / Sub-Task,Integer,0,10
DV09,BacklogItemCount,Number of items in the product backlog,BacklogItemCount,Product Backlog,Integer,0,1000
DV10,TeamSatisfactionScore,Satisfaction score collected during sprint retrospective,TeamSatisfactionScore,Sprint Retrospective,Float,0,10
