ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,sprint_duration,Sprint duration in days,Integer,{1,2,3,4},1,4
DV1,team_size,Number of team members,Integer,{5,6,7,8,9,10},5,10
DV2,blocker_severity,Severity level of a blocker,Integer,{1,2,3,4,5},1,5
DV3,feature_priority,Priority level of a feature,Integer,{1,2,3,4,5},1,5
DV4,user_story_priority,Priority level of a user story,Integer,{1,2,3,4,5},1,5
DV5,task_effort,Effort required for a task,Integer,{1,2,3,4,5},1,5
DV6,team_satisfaction,Team satisfaction level,Integer,{1,2,3,4,5},1,5
DV7,sprint_goal_achievement,Achievement status of sprint goal,Integer,{0,1},0,1
DV8,product_owner_availability,Availability of the product owner,Integer,{0,1},0,1
DV9,scrum_master_availability,Availability of the scrum master,Integer,{0,1},0,1
DV10,worker_availability,Availability of a worker,Integer,{0,1},0,1
DV11,worker_skill_level,Skill level of a worker,Integer,{1,2,3,4,5},1,5
DV12,scrum_master_experience,Experience level of the scrum master,Integer,{1,2,3,4,5},1,5
