ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Binary decision to assign a specific worker to a specific team.,integer,{0,1},0,1
DV1,select_feature_for_release,Binary decision to include a specific feature in the next release plan.,integer,{0,1},0,1
DV2,allocate_sprint_budget,The amount of budget to allocate to a specific sprint.,float,Real,0,100000
DV3,set_team_size,The number of workers assigned to a given team.,integer,Integer,3,12
DV4,assign_story_points,The number of story points to assign to a user story.,integer,Integer,1,21
DV5,set_feature_priority,The priority level assigned to a feature (e.g., 1-5).,integer,Integer,1,5
DV6,plan_sprint_duration,The duration of a sprint in days.,integer,Integer,7,30
DV7,assign_task_effort,The estimated effort (in person-hours) for a task.,float,Real,0.5,40
DV8,set_worker_availability,The percentage of time a worker is available for project work.,float,Real,0,1
DV9,blocker_resolution_resource,The amount of resource (0-100) allocated to resolving a specific blocker.,integer,Integer,0,100
DV10,select_stakeholder_for_review,Binary decision to invite a specific stakeholder to a sprint review.,integer,{0,1},0,1
DV11,assign_skill_to_worker,Binary decision to certify that a worker possesses a specific skill.,integer,{0,1},0,1
