ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Maximize Sprint Velocity,Increase average story points completed per sprint,maxSprintVelocity,"Velocity,Sprint,Team",Max,🟢
G2,Minimize Blockers,Reduce the number of blockers per sprint,minBlockers,"Blocker / Problem / Bug,Sprint",Min,🟢
G3,Maximize Team Utilization,Ensure team members are effectively allocated,maxTeamUtilization,"Team,Employee",Max,🟡
G4,Minimize Budget Overrun,Keep project spending within budget,minBudgetOverrun,Project,Min,🟢
G5,Maximize Feature Completion,Deliver maximum features planned in sprint backlog,maxFeatureCompletion,"Feature,Sprint Backlog,Sprint",Max,🟢
G6,Maximize Stakeholder Satisfaction,Improve stakeholder feedback scores,maxStakeholderSatisfaction,"Stakeholder,Sprint Review",Max,🟡
G7,Minimize Task Rework,Reduce tasks requiring rework or bug fixes,minTaskRework,"Task / Sub-Task,Blocker / Problem / Bug",Min,🟢
G8,Maximize Skill Match,Match employee skills to task requirements,maxSkillMatch,"Employee,Skill,Task / Sub-Task",Max,🟡
G9,Maximize Sprint Goal Achievement,Achieve sprint goals fully and timely,maxSprintGoalAchievement,"Sprint,Sprint Goal",Max,🟢
G10,Minimize Sprint Planning Time,Reduce duration of sprint planning meetings,minSprintPlanningTime,Sprint Planning,Min,🟡
