ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Binary variable to assign a worker to a specific team,Binary,"{0,1}",0,1
DV1,assign_team_to_project,Binary variable to assign a team to a specific project,Binary,"{0,1}",0,1
DV2,select_user_story_for_sprint,Binary variable to include a user story in a sprint backlog,Binary,"{0,1}",0,1
DV3,assign_task_to_worker,Binary variable to assign a task to a specific worker,Binary,"{0,1}",0,1
DV4,set_user_story_points,Integer variable to define the story points for a user story,Integer,,1,21
DV5,set_feature_priority,Integer variable to set the priority level for a feature,Integer,"{1,2,3,4,5}",1,5
DV6,set_project_budget,Continuous variable for allocating a budget to a project,Float,,10000,1000000
DV7,set_sprint_duration,Integer variable to define the length of a sprint in days,Integer,"{7,14,21,30}",7,30
DV8,allocate_task_effort,Continuous variable to allocate effort (in hours) to a task,Float,,1,40
DV9,select_scrum_master_for_team,Binary variable to assign a scrum master to a team,Binary,"{0,1}",0,1
DV10,include_feature_in_release,Binary variable to include a feature in a specific release plan,Binary,"{0,1}",0,1
DV11,resolve_blocker,Binary variable that is 1 if a blocker is resolved, 0 otherwise,Binary,"{0,1}",0,1
