ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_project_budget,Maximize the allocated budget for projects,True,max,Project,budget,2,1.0
G1,minimize_sprint_effort,Minimize the total effort required for sprint tasks,True,min,Sprint,total_effort,2,0.8
G2,maximize_team_availability,Maximize team member availability,True,max,Worker,availability,2,1.0
G3,minimize_blocker_severity,Minimize the severity of blockers,True,min,Blocker,severity,2,0.9
G4,maximize_velocity,Maximize team velocity,True,max,Velocity,avg._story_points,2,1.0
G5,maximize_sprint_goal_achievement,Maximize achievement of sprint goals,True,max,SprintGoal,achievement_status,2,1.0
G6,minimize_task_duration,Minimize individual task durations,True,min,Task,effort,2,0.7
G7,maximize_stakeholder_satisfaction,Maximize satisfaction from stakeholder feedback,True,max,Stakeholder,relevance_to_feature,2,0.85
G8,maximize_product_deployment,Maximize successful deployments,True,max,DevelopmentSnapshot,test_status,2,1.0
G9,minimize_team_size,Minimize team size while maintaining productivity,True,min,Team,team_size,2,0.6
G10,maximize_story_prioritization,Maximize alignment with user story priorities,True,max,UserStory,priority,2,1.0
G11,minimize_backlog_size,Minimize number of entries in product backlog,True,min,ProductBacklog,number_of_entries,2,0.75
G12,maximize_skill_level,Maximize worker skill levels,True,max,Worker,level,2,0.95
G13,maximize_release_planning,Maximize features included in release plans,True,max,ReleasePlan,included_features,2,1.0
G14,minimize_sprint_duration,Minimize sprint timeframes,True,min,Sprint,end_date,2,0.6
