ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C01,Team Size Limit,Team size must not exceed capacity,TeamSizeLimit,Team,Min,🟢
C02,Skill Certification Required,Employee must have certified skill for task,SkillCertification,Skill / Competence,Min,🟢
C03,Employee Availability,Employee must be available during sprint,EmployeeAvailability,Employee,Min,🟢
C04,Task Effort Estimation,Task effort should be within sprint capacity,TaskEffortLimit,Task / Sub-Task,Max,🟢
C05,Sprint Duration Limits,Sprint must start and end within planned dates,SprintDateLimit,Sprint,Min,🟢
C06,Role Assignment Required,Each team must have assigned Scrum Master,ScrumMasterAssigned,Team,Min,🟢
C07,Product Backlog Status,Backlog status must be active to contain features,BacklogStatus,Product Backlog,Min,🟢
C08,Blocker Severity Limit,Blockers above a certain severity must be resolved immediately,BlockerSeverityLimit,Blocker / Problem / Bug,Min,🟢
C09,Priority Feature Delivery,High priority features must be included in release plan,PriorityFeatureRelease,Feature,Min,🟢
C10,Team Location Compatibility,Team members must be located within compatible time zones,TeamLocation,Team,Min,🟡
