ID,Name,Description,AffectedEntities,Influence
1,Low Influence Stress,Minor disruptions requiring quick resolution, Sprint Backlog,1
2,Low Influence Anxiety,Increased vigilance, Code Complexity,2
3,Medium Influence High Pressure,Significant workload, Sprint Commitment,3
4,Medium Influence High Pressure,Critical dependencies, Sprint Goals,3
5,High Influence Critical, High Stakes, Sprint Feedback,4
6,High Influence Team Burden,Over-reliance on single team member, Backlog Clarity,4
7,High Influence Major Issues,Complex Bug, Sprint Review,4
8,High Influence Dependency, Major technical debt, Sprint Planning,4
9,High Influence Fatigue, Constant pressure,Sprint cycle,4
10,High Influence Feedback Overload,Frequent review feedback,Sprint Cycle,4
