ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,project_start_date,Project start date,Date,{2023-01-01,2024-01-01},0,1
D1,team_size,Team size,Integer,{1,2,3,4,5},1,10
D2,feature_priority,Feature priority,Integer,{1,2,3},1,3
D3,task_effort,Task effort,Integer,{1,2,3,4,5},1,10
D4,blocker_severity,Blocker severity,Integer,{1,2,3},1,3
D5,sprint_velocity,Sprint velocity,Integer,{1,2,3,4,5},1,10
D6,product_owner_availability,Product owner availability,Integer,{1,2,3},1,3
D7,scrum_master_experience,Scrum master experience,Integer,{1,2,3},1,3
D8,development_snapshot_test_status,Development snapshot test status,Integer,{1,2,3},1,3
D9,release_plan_status,Release plan status,Integer,{1,2,3},1,3
D10,roadmap_milestones,Roadmap milestones,Integer,{1,2,3},1,3
D11,scrum_board_columns,Scrum board columns,Integer,{1,2,3},1,3
D12,project_duration,Project duration,Integer,{1,2,3,4,5},1,10
D13,stakeholder_influence,Stakeholder influence,Integer,{1,2,3},1,3
D14,sprint_retrospective_improvement_actions,Sprint retrospective improvement actions,Integer,{1,2,3},1,3
