ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,worker_task_assignment,Boolean assignment of a worker to a task.,boolean,{0,1},0,1
DV1,feature_sprint_assignment,Which sprint a feature is assigned to.,integer,"{1, 2, 3, ...}",1,20
DV2,story_point_estimate,The estimated story points for a User Story.,integer,"{1, 2, 3, 5, 8, 13}",1,13
DV3,team_size,The number of workers assigned to a team.,integer,"{3, 4, 5, 6, 7, 8, 9}",3,9
DV4,sprint_goal_priority,Priority level of the sprint goal.,integer,"{1, 2, 3}",1,3
DV5,task_sequence_order,The order in which tasks are to be completed.,integer,"{1, 2, 3, ...}",1,100
DV6,skill_requirement_level,The required proficiency level of a skill for a task.,integer,"{1, 2, 3, 4, 5}",1,5
DV7,meeting_duration_min,The allocated duration for a ceremony in minutes.,integer,"{15, 30, 45, 60}",15,60
DV8,worker_availability_pct,The percentage of time a worker is available in a sprint.,float,"[0.0, 1.0]",0.0,1.0
DV9,budget_allocation,The amount of budget allocated to a specific feature.,float,"[0.0, ...]",0.0,1000000.0
DV10,blocker_resolution_sprint,The sprint in which a blocker is targeted to be resolved.,integer,"{0, 1, 2, ...}",0,20
