ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,minimize_project_duration,Minimize the total duration of all projects,True,min,Project,project_end,2,1.0
G1,maximize_team_utilization,Maximize the average utilization of all teams,True,max,Team,team_status,1,0.9
G2,minimize_blocker_severity,Minimize the total severity of all active blockers,True,min,Blocker,severity,2,1.2
G3,maximize_feature_completion,Maximize the number of features marked as 'Done',True,max,Feature,status,2,1.0
G4,minimize_sprint_overhead,Minimize the total time spent in meetings per sprint,True,min,SprintPlanning,duration_(min),1,0.8
G5,maximize_velocity_consistency,Maximize the consistency (minimize deviation) of team velocity,False,max,Velocity,avg._story_points,1,0.7
G6,minimize_context_switch,Minimize the number of different tasks a worker is assigned to,True,min,Worker,availability,1,0.9
G7,maximize_skill_match,Maximize the alignment between task requirements and worker skills,True,max,Worker,availability,1,1.1
G8,minimize_budget_overrun,Minimize the total financial overrun across all projects,True,min,Project,budget,2,1.5
G9,maximize_stakeholder_satisfaction,Maximize the average influence level of satisfied stakeholders,True,max,Stakeholder,influence_level,1,0.8
