"ID","Name","Description","DataType","Domain","MinValue","MaxValue"
"D0","project_budget_allocation","Project budget allocation","Integer","{0,100000}",0,100000
"D1","team_size_decision","Team size decision","Integer","{1,10}",1,10
"D2","task_priority_decision","Task priority decision","Integer","{1,5}",1,5
"D3","feature_status_decision","Feature status decision","String","{'in_progress','done'}","in_progress","done"
"D4","blocker_severity_decision","Blocker severity decision","Integer","{1,5}",1,5
"D5","sprint_velocity_decision","Sprint velocity decision","Integer","{1,20}",1,20
"D6","stakeholder_influence_decision","Stakeholder influence decision","Integer","{1,5}",1,5
"D7","development_snapshot_quality_decision","Development snapshot quality decision","String","{'good','bad'}","good","bad"
"D8","product_backlog_entries_decision","Product backlog entries decision","Integer","{1,100}",1,100
"D9","sprint_retrospective_improvement_actions_decision","Sprint retrospective improvement actions decision","Integer","{0,10}",0,10
"D10","scrum_board_columns_decision","Scrum board columns decision","Integer","{1,10}",1,10
"D11","task_status_decision","Task status decision","String","{'in_progress','done'}","in_progress","done"
"D12","feature_documentation_quality_decision","Feature documentation quality decision","String","{'good','bad'}","good","bad"
"D13","project_duration_decision","Project duration decision","Integer","{1,365}",1,365
"D14","team_availability_decision","Team availability decision","Integer","{0,100}",0,100
