ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Maximize Velocity,Increase average story points completed per sprint,velocity,Sprint,Max,🟢
G2,Minimize Bug Count,Reduce number of unresolved bugs per sprint,bugCount,Sprint,Min,🟢
G3,Maximize Customer Satisfaction,Improve stakeholder feedback scores,customerSat,Sprint Review,Max,🟡
G4,Minimize Sprint Overrun,Keep actual sprint duration within planned dates,overrunDays,Sprint,Min,🟢
G5,Maximize Team Utilization,Ensure team capacity is optimally used,utilizationRate,Team,Max,🟡
G6,Minimize Cost Variance,Control budget deviation per project,costVariance,Project,Min,🟢
G7,Maximize Feature Throughput,Increase number of features delivered per release,featuresDelivered,Release Plan,Max,🟡
G8,Minimize Time to Market,Shorten duration from project start to release,timeToMarket,Project,Min,🟢
G9,Maximize Code Coverage,Increase percentage of code tested,codeCoverage,Development Snapshot,Max,🟡
G10,Minimize Technical Debt,Reduce number of known issues carried over,debtCount,Product Backlog,Min,🟡
G11,Maximize Stakeholder Engagement,Increase participation in reviews,reviewAttendees,Sprint Review,Max,🟡
