ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
D1,SprintDuration,Length of the sprint in days,sprintDuration,Sprint,Integer,7,30
D2,TeamSize,Number of members in team,teamSize,Team,Integer,3,12
D3,BudgetAllocation,Budget assigned to project segment,budgetAllocation,Project,Float,10000,1000000
D4,StoryPointCap,Max story points per sprint,storyPointCap,Sprint,Integer,10,100
D5,FeatureEffort,Estimated effort for a feature,featureEffort,Feature,Float,1,50
D6,MaxTasksPerDeveloper,Max tasks assigned to one employee,tasksPerDev,Employee,Integer,1,10
D7,ReleaseFrequency,Number of releases per year,releaseFreq,Release Plan,Integer,1,12
D8,DocumentationPages,Number of pages per feature doc,docPages,Feature Documentation,Integer,1,100
D9,TestEnvironments,Number of test environments available,testEnvCount,Development Snapshot,Integer,1,5
D10,MeetingDuration,Duration of ceremonies in minutes,meetingDuration,Daily Scrum,Integer,15,60
D11,BacklogItemsPerReview,Number of backlog items reviewed per review,itemsPerReview,Sprint Review,Integer,1,20
