ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,select_feature,Decision to include a feature in the next release,Binary,{0,1},0,1
DV1,select_user_story,Decision to include a user story in the sprint,Binary,{0,1},0,1
DV2,schedule_sprint_length,Chosen sprint length in days,Integer,integer,7,30
DV3,allocate_project_budget,Allocated budget amount for a project,Real,real,0,1000000
DV4,assign_worker_to_team,Assignment of a worker to a team for the sprint,Binary,{0,1},0,1
DV5,set_team_size,Configured team size for the sprint,Integer,integer,3,12
DV6,set_daily_scrum_duration,Daily Scrum duration in minutes,Integer,integer,10,20
DV7,choose_review_attendees,Target number of attendees for the sprint review,Integer,integer,0,100
DV8,set_task_effort,Estimated effort units for a task,Integer,integer,1,13
DV9,choose_scrum_board_wip_limit,WIP limit (max cards in progress) on the Scrum board,Integer,integer,1,50
DV10,accept_blocker_risk_threshold,Acceptable blocker severity threshold for scheduling,Integer,integer,0,5
DV11,set_story_priority,Assigned priority level for a user story,Integer,integer,1,5
