ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,"Binary variable: 1 if a worker is assigned to a team, 0 otherwise",binary,"{0,1}",0,1
DV1,assign_team_to_project,"Binary variable: 1 if a team is assigned to a project, 0 otherwise",binary,"{0,1}",0,1
DV2,assign_task_to_worker,"Binary variable: 1 if a task is assigned to a worker, 0 otherwise",binary,"{0,1}",0,1
DV3,select_user_story_for_sprint,"Binary variable: 1 if a user story is selected for a sprint, 0 otherwise",binary,"{0,1}",0,1
DV4,assign_feature_to_release,"Binary variable: 1 if a feature is included in a release plan, 0 otherwise",binary,"{0,1}",0,1
DV5,set_feature_priority,"Integer variable for setting the priority of a feature",integer,Z+,1,100
DV6,set_project_budget,"Continuous variable for allocating budget to a project",continuous,R+,0,10000000
DV7,determine_sprint_duration_days,"Integer variable for the duration of a sprint in days",integer,Z+,7,28
DV8,assign_worker_to_role,"Binary variable: 1 if a worker takes on a specific role, 0 otherwise",binary,"{0,1}",0,1
DV9,match_skill_to_task,"Binary variable: 1 if a worker with a required skill is assigned to a task, 0 otherwise",binary,"{0,1}",0,1
DV10,set_task_effort_hours,"Integer variable for estimating the effort of a task in hours",integer,Z+,1,40
DV11,choose_sprint_goal,"Binary variable: 1 if a sprint goal is selected for a sprint, 0 otherwise",binary,"{0,1}",0,1
