ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_size,Maximize the size of the team to increase productivity,False,max,Team,team_size,2,1.0
G1,maximize_worker_availability,Maximize the availability of workers to ensure project completion,False,max,Worker,availability,2,1.0
G2,minimize_sprint_duration,Minimize the duration of sprints to increase efficiency,False,min,Sprint,duration,2,1.0
G3,maximize_velocity,Maximize the velocity of the team to improve productivity,False,max,Velocity,avg._story_points,2,1.0
G4,maximize_feature_completion,Maximize the number of features completed in a sprint,False,max,SprintBacklog,number_of_tasks,2,1.0
G5,minimize_blocker_severity,Minimize the severity of blockers to reduce delays,False,min,Blocker,severity,2,1.0
G6,maximize_user_story_points,Maximize the number of story points completed in a sprint,False,max,Sprint,story_points,2,1.0
G7,maximize_product_owner_availability,Maximize the availability of the Product Owner to ensure timely decision-making,False,max,ProductOwner,availability,2,1.0
G8,minimize_sprint_retrospective_duration,Minimize the duration of sprint retrospectives to save time,False,min,SprintRetrospective,duration,2,1.0
G9,maximize_stakeholder_influence,Maximize the influence of stakeholders to ensure alignment with business goals,False,max,Stakeholder,influence_level,2,1.0
G10,maximize_release_plan_features,Maximize the number of features included in a release plan,False,max,ReleasePlan,included_features,2,1.0
G11,minimize_epic_estimated_effort,Minimize the estimated effort for epics to ensure feasibility,False,min,Epic,estimated_effort,2,1.0
G12,maximize_feature_documentation,Maximize the number of features with documentation to ensure quality,False,max,FeatureDocumentation,title,2,1.0
G13,minimize_sprint_backlog_effort,Minimize the total effort in the sprint backlog to ensure achievable goals,False,min,SprintBacklog,total_effort,2,1.0
G14,maximize_sprint_achievement,Maximize the achievement of sprint goals to ensure project success,False,max,Sprint,achievement_of_goal,2,1.0
