ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Decision to assign a specific worker to a specific task.,Integer,{0,1},0,1
DV1,select_feature_for_sprint,Decision to include a specific feature in a specific sprint.,Integer,{0,1},0,1
DV2,set_sprint_goal,The objective description for a sprint.,String,N/A,N/A,N/A
DV3,allocated_sprint_budget,The amount of budget allocated to a specific sprint.,Float,Real,0,Infinity
DV4,team_size,The number of workers assigned to a team.,Integer,Integer,3,9
DV5,worker_availability,The percentage of time a worker is available for project work in a given period.,Float,Real,0.0,1.0
DV6,story_point_estimate,The estimated complexity (in story points) for a user story.,Integer,Integer,1,20
DV7,task_effort_estimate,The estimated effort (in hours) for a task.,Float,Real,0.5,40.0
DV8,feature_priority,The priority level of a feature (e.g., Critical, High, Medium, Low).,String,N/A,N/A,N/A
DV9,blocker_severity,The severity level of a blocker (e.g., Blocking, Major, Minor).,String,N/A,N/A,N/A
DV10,sprint_duration,The duration of a sprint in days.,Integer,Integer,5,30
DV11,deployment_target,The target environment for a development snapshot (e.g., Staging, Production).,String,N/A,N/A,N/A
