ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,minimize_total_effort,Minimize the total estimated effort of all tasks in the active sprint backlog.,True,min,Task,effort,2,1.0
G1,maximize_team_velocity,Maximize the average velocity of the team to improve throughput.,False,max,Velocity,avg._story_points,2,1.5
G2,minimize_blocker_severity,Minimize the maximum severity of any active blocker in the sprint.,False,min,Blocker,severity,2,2.0
G3,maximize_feature_priority,Maximize the total priority score of features included in the release plan.,True,max,Feature,priority,2,1.0
G4,minimize_sprint_duration,Minimize the duration of sprints to increase feedback frequency.,False,min,Sprint,end_date,1,0.8
G5,maximize_skill_match,Maximize the alignment between task requirements and worker skills.,False,max,Worker,availability,1,1.2
G6,minimize_budget_deviation,Minimize the deviation of the actual spend from the project budget.,False,min,Project,budget,2,1.8
G7,maximize_stakeholder_satisfaction,Maximize the satisfaction level of stakeholders from the sprint review.,False,max,SprintReview,feedback_documentation,1,1.0
G8,minimize_context_switching,Minimize the number of different story types a single worker is assigned to.,True,min,Worker,status,1,1.1
G9,maximize_sprint_goal_achievement,Maximize the rate of successfully achieved sprint goals.,False,max,SprintGoal,achievement_status,2,1.5
