ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Binary decision to assign a specific worker to a specific task.,Integer,"{0,1}",0,1
DV1,story_points,The number of story points assigned to a user story.,Integer,"",1,20
DV2,sprint_duration,The duration of a sprint in days.,Integer,"",7,28
DV3,feature_included_in_release,Binary decision to include a feature in a release plan.,Integer,"{0,1}",0,1
DV4,task_start_date,The start date for a task within a sprint.,Integer,"",1,28
DV5,team_size,The number of workers assigned to a team.,Integer,"",3,9
DV6,worker_availability,The percentage of time a worker is available for project work.,Real,"",0.0,1.0
DV7,blocker_resolution,Binary decision indicating if a blocker is resolved.,Integer,"{0,1}",0,1
DV8,skill_level,The proficiency level of a worker in a specific skill.,Integer,"",1,5
DV9,sprint_goal_achieved,Binary decision indicating if the sprint goal was achieved.,Integer,"{0,1}",0,1
