ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize the average velocity of the team to increase output,True,max,Team,avg._story_points,2,1.0
G1,minimize_blocker_severity,Minimize the impact of blockers by reducing their average severity,True,min,Blocker,severity,2,1.5
G2,maximize_feature_completion,Maximize the number of features that are completed,True,max,Feature,status,2,1.0
G3,minimize_sprint_overhead,Minimize the total time spent in meetings (planning, daily, review, retrospective),True,min,Sprint,duration_(min),2,0.8
G4,maximize_stakeholder_satisfaction,Maximize the average satisfaction level of stakeholders,True,max,Stakeholder,satisfaction_level,2,1.2
G5,minimize_task_effort_variance,Minimize the variance between estimated and actual effort for tasks,False,min,Task,effort_variance,2,1.0
G6,maximize_worker_availability,Maximize the average availability of workers to ensure capacity,True,max,Worker,availability,2,1.0
G7,minimize_budget_overrun,Minimize the total budget overrun across all projects,True,min,Project,budget_variance,2,2.0
G8,maximize_sprint_goal_achievement,Maximize the rate at which sprint goals are achieved,True,max,SprintGoal,achievement_status,2,1.0
G9,minimize_technical_debt,Minimize the level of technical debt indicated in development snapshots,False,min,DevelopmentSnapshot,technical_debt_level,2,1.3
