ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Binary decision to assign a worker to a specific team,Integer,{0,1},0,1
DV1,select_feature_for_sprint,Binary decision to include a specific feature in a sprint backlog,Integer,{0,1},0,1
DV2,allocate_story_points,The number of story points assigned to a user story,Integer,,1,20
DV3,set_sprint_duration,The duration of a sprint in days,Integer,,7,30
DV4,assign_task_to_worker,Binary decision to assign a specific task to a specific worker,Integer,{0,1},0,1
DV5,prioritize_feature,The priority level assigned to a feature (scale 1-5),Integer,,1,5
DV6,schedule_meeting_duration,The duration allocated for a specific meeting in minutes,Integer,,15,120
DV7,set_worker_availability,The planned availability percentage for a worker,Float,,0.0,1.0
DV8,define_team_size,The number of workers assigned to a team,Integer,,3,9
DV9,plan_release_date,The planned date for a release (days from project start),Integer,,30,365
DV10,allocate_budget_to_feature,The amount of budget allocated to a specific feature,Float,,0.0,100000.0
