ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Assignment of worker to team,integer,"{0,1}",0,1
DV1,schedule_sprint_start,Start date of a sprint,date,,2024-01-01,2025-12-31
DV2,estimate_task_effort,Estimated effort for a task in hours,continuous,,"0","72"
DV3,prioritize_backlog_item,Priority rank of backlog item,integer,,1,1000
DV4,allocate_budget_to_project,Budget assigned to a project,continuous,,"0","1000000"
DV5,select_features_for_release,Features selected for release,integer,"{0,1}",0,1
DV6,plan_sprint_goal,Define sprint goal objective,text,,,""
DV7,update_task_status,Status of a task during sprint,categorical,"{To Do, In Progress, Done}",,""
DV8,moderate_retrospective_assignment,Assign Scrum Master to moderate retrospective,integer,"{0,1}",0,1
DV9,document_feature,Decide whether to document a feature,integer,"{0,1}",0,1
DV10,resolve_blocker,Time when a blocker is resolved,date,,2024-01-01,2025-12-31
DV11,set_skill_level,Set level of a worker's skill,integer,,1,5
DV12,adjust_velocity_prediction,Predicted velocity for next sprints,continuous,,"0","100"
DV13,define_roadmap_milestone,Set milestone dates in roadmap,date,,2024-01-01,2026-12-31
DV14,manage_stakeholder_communication,Frequency of stakeholder updates,integer,,0,10
