ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Binary decision: Is a specific worker assigned to a specific task?,int,{0,1},0,1
DV1,include_feature_in_sprint,Binary decision: Is a specific feature/user story included in a specific sprint?,int,{0,1},0,1
DV2,start_date_for_task,The planned start date for a specific task.,date,ISO Date,project_start,project_end
DV3,end_date_for_task,The planned end date for a specific task.,date,ISO Date,project_start,project_end
DV4,assign_story_points,The number of story points assigned to a specific user story.,float,Real,0.5,20.0
DV5,team_velocity,The estimated velocity for a team in a given sprint.,float,Real,0,50
DV6,worker_availability,The percentage of time a worker is available in a given period.,float,Real,0.0,1.0
DV7,task_effort_estimate,The estimated effort (e.g., in person-hours) required for a task.,float,Real,1,40
DV8,blocker_resolution_time,The number of days estimated to resolve a specific blocker.,int,Integer,1,14
DV9,skill_proficiency_level,The proficiency level of a worker for a specific skill.,int,Integer,1,5
DV10,feature_priority,The assigned business priority of a feature (can be adjusted within constraints).,int,{1,2,3,4,5},1,5
