ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G001,Maximize User Engagement,Increase user engagement by 15%,Min,EngagementScore,2,1,1,1,1
G002,Minimize Technical Debt,Reduce technical debt by 10%,Min,DebtScore,1,1,1,1
G003,Improve Product Usability,Increase average product usability score by 5%,Min,UsabilityScore,1,1,1
G004,Expand Feature Set,Add 3 new features,Max,Feature,1,1,1
G005,Reduce Development Time,Decrease development time by 20%,Min,DevelopmentTime,1,1
G006,Increase Customer Satisfaction,Improve customer satisfaction score by 2,Min,SatisfactionScore,1,1,1
G007,Improve Code Quality,Reduce code complexity by 10%,Min,ComplexityScore,1,1
G008,Streamline Workflow,Speed up the workflow by 15%,Min,WorkflowTime,1,1
G009,Increase Sales,Increase sales by 10%,Max,Sales,1,1
G010,Enhance Security,Improve security by 5%,Min,SecurityScore,1,1
G011,Automate Testing,Automate testing coverage by 10%,Min,TestCoverage,1,1
G012,Improve Reporting,Generate better reports,Max,ReportType,1,1
G013,Increase Documentation,Create documentation for all features,Max,DocumentType,1,1
G014,Enhance Customer Support,Reduce customer support tickets by 10%,Min,SupportTickets,1,1
G015,Expand the Product,Increase user base by 5%,Max,UserBase,1,1
