ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,team_size_above_threshold,Team size should be above a certain threshold,False,max,Team,team_size,2,1.0
C1,velocity_within_range,Velocity should be within a specific range,False,max,Velocity,avg._story_points,1,1.0
C2,team_satisfaction_above_threshold,Team satisfaction should be above a certain threshold,False,max,SprintRetrospective,team_satisfaction,2,1.0
C3,blocker_severity_below_threshold,Blocker severity should be below a certain threshold,False,min,Blocker,severity,2,1.0
C4,sprint_achievement_above_threshold,Sprint achievement should be above a certain threshold,False,max,Sprint,achievement_of_goal,2,1.0
C5,feature_completion_above_threshold,Feature completion should be above a certain threshold,False,max,Feature,status,2,1.0
C6,story_points_completed_above_threshold,Story points completed should be above a certain threshold,False,max,UserStory,story_points,2,1.0
C7,skill_level_above_threshold,Skill level should be above a certain threshold,False,max,Skill,level,2,1.0
C8,task_effort_below_threshold,Task effort should be below a certain threshold,False,min,Task,effort,2,1.0
C9,availability_above_threshold,Availability should be above a certain threshold,False,max,Worker,availability,2,1.0
C10,project_budget_utilization_above_threshold,Project budget utilization should be above a certain threshold,False,max,Project,budget,2,1.0
