ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_user_story_to_sprint,"y_{u,sp}=1 if User Story u is assigned to Sprint sp; 0 otherwise",binary,{0,1},0,1
DV1,assign_task_to_sprint,"z_{k,sp}=1 if Task k is scheduled in Sprint sp; 0 otherwise",binary,{0,1},0,1
DV2,assign_worker_to_team,"a_{w,t}=1 if Worker w belongs to Team t; 0 otherwise",binary,{0,1},0,1
DV3,assign_team_to_project,"a_{t,p}=1 if Team t is assigned to Project p; 0 otherwise",binary,{0,1},0,1
DV4,select_feature,"s_f=1 if Feature f is selected for implementation; 0 otherwise",binary,{0,1},0,1
DV5,select_epic,"s_e=1 if Epic e is selected; 0 otherwise",binary,{0,1},0,1
DV6,select_user_story,"s_u=1 if User Story u is selected; 0 otherwise",binary,{0,1},0,1
DV7,mark_task_done,"d_k=1 if Task k is completed within its assigned Sprint; 0 otherwise",binary,{0,1},0,1
DV8,resolve_blocker,"r_{bl}=1 if Blocker bl is resolved; 0 otherwise",binary,{0,1},0,1
DV9,include_feature_in_release_plan,"r_{rp,f}=1 if Feature f is included in Release Plan rp; 0 otherwise",binary,{0,1},0,1
DV10,achieve_sprint_goal_flag,"g_{sp}=1 if Sprint sp achieves its Sprint Goal; 0 otherwise",binary,{0,1},0,1
DV11,sprint_workload_story_points,"w_{sp} planned workload (story points) in Sprint sp",float,[0,+inf),0,1000000
DV12,development_snapshot_created,"x_{sp}=1 if Sprint sp generates a Development Snapshot; 0 otherwise",binary,{0,1},0,1
